Positio,,,UPC,,,,Facings,,Brand,,,,,Long Description,,,,,Size,,,,UOM,,,,Date,,,,Width,,,,,,
16,,0085404900239,,,,1,,ACURE,,,,,MARULA OIL-THE ESSENTIALS,,,,,1.00,,,FOZ,,,,,Jun  5 2016 1,,,,1.50,,,,,,,
17,,0081342402012,,,,1,,ACURE,,,,,ROSEHIP OIL-THE ESSENTIALS,,,,,1.00,,,FOZ,,,,,Jul 17 2016 1,,,,1.50,,,,,,,
18,,0072474200798,,,,1,,ALBA BOTANICA,,,,,FAST FIX FOR PUFFY EYES,,,,,0.25,,,OZ,,,,,Jun  5 2016 1,,,,2.70,,,,,,,
19,,0072474200782,,,,1,,ALBA BOTANICA,,,,,GOOD & CLEAN DETOX FOAMING CLEANSER,,,,,6.00,,,OZ,,,,,Jun  5 2016 1,,,,3.05,,,,,,,
20,,0072474200781,,,,1,,ALBA BOTANICA,,,,,GOOD & CLEAN GENTLE ACNE WASH,,,,,6.00,,,OZ,,,,,Jun  5 2016 1,,,,3.05,,,,,,,
21,,0072474200780,,,,1,,ALBA BOTANICA,,,,,GOOD & CLEAN TOXIN RELEASE SCRUB,,,,,4.00,,,OZ,,,,,Jun  5 2016 1,,,,3.05,,,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 8.00"",   Product: 3' 11.98""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0081783501003,,,,1,,EVAN HEALY SKIN CARE,,,,,ROSE BALANCING FACE CARE KIT,,,,,1.00,,,EA,,,,,Jun  5 2016 1,,,,3.00,,,,,,,
2,,0081783501000,,,,1,,EVAN HEALY SKIN CARE,,,,,ROSE CLEANSING MILK,,,,,4.00,,,OZ,,,,,Jun  5 2016 1,,,,2.06,,,,,,,
3,,0081783501004,,,,1,,EVAN HEALY SKIN CARE,,,,,ROSE GERANIUM FACIAL TONIC HYDROSOL,,,,,4.00,,,OZ,,,,,Jun  5 2016 1,,,,2.06,,,,,,,
4,,0081783501033,,,,1,,EVAN HEALY SKIN CARE,,,,,ROSEHIP TREATMENT FACIAL SERUM,,,,,0.50,,,OZ,,,,,Jun  5 2016 1,,,,1.42,,,,,,,
5,,0081783501025,,,,1,,EVAN HEALY SKIN CARE,,,,,ROSE VETIVER DAY MOISTURIZER,,,,,1.40,,,OZ,,,,,Jun  5 2016 1,,,,2.22,,,,,,,
6,,0081783501036,,,,1,,EVAN HEALY SKIN CARE,,,,,FRENCH ROSE CLAY,,,,,2.10,,,OZ,,,,,Jun  5 2016 1,,,,2.75,,,,,,,
7,,0081783501038,,,,1,,EVAN HEALY SKIN CARE,,,,,BLUE SENSITIVE FACE CARE KIT,,,,,1.00,,,EA,,,,,Jun  5 2016 1,,,,3.00,,,,,,,
8,,0081783501001,,,,1,,EVAN HEALY SKIN CARE,,,,,BLUE LAVENDER CLEANSING MILK,,,,,4.00,,,OZ,,,,,Jun  5 2016 1,,,,2.06,,,,,,,
9,,0081783501010,,,,1,,EVAN HEALY SKIN CARE,,,,,LAVENDER FACIAL TONIC HYDROSOL,,,,,4.00,,,OZ,,,,,Jun  5 2016 1,,,,2.06,,,,,,,
10,,0081783501034,,,,1,,EVAN HEALY SKIN CARE,,,,,ROSEHIP TREATMENT FACIAL SERUM,,,,,0.50,,,OZ,,,,,Jun  5 2016 1,,,,1.42,,,,,,,
